names,relative_mass,r,g,b,pos_x,pos_y,pos_z,velocity_x,velocity_y,velocity_z
Gaia DR3 4041441359458718720,1.5520201936244757,247,244,255,2315.622513189583,-212.05287427516905,-149.44879063731727,-2526.526000565314,-7495.526620148023,-16828.468221674702
Gaia DR3 6895602257522846336,0.21985628459744688,0,0,255,69.0603724009996,59.04829467872973,-68.41380747281539,-13570.21448445588,-436.4657570429015,-12582.792846197935
Gaia DR3 6013486412391214208,1.010720828853117,255,247,238,940.0324927371712,-436.55022513081354,303.94523857688745,13048.496254182819,17459.340822083963,-17679.722952617514
Gaia DR3 4059825258257905792,0.9261134689085053,0,0,255,1105.0055255785858,-43.853647643734746,85.69674674200175,275.8989936864732,-5797.603021380426,-16379.579476550212
Gaia DR3 3134808741440717696,0.8472926173350235,255,244,234,-569.6813255201776,-415.85964502359315,102.92101781841463,146171.5697285513,-205092.6386430307,-24101.1603003559
Gaia DR3 2221275141813736320,0.49035942843463276,255,221,195,-106.26008984704424,386.98388229039466,77.94505963958,6552.199425196747,1667.0232958780946,-4650.946374665831
Gaia DR3 5887026911511993344,1.7306746986790364,248,245,255,2508.055771027422,-1776.6509678400325,120.36737503293647,-46211.40733304393,-64936.755463147,-11601.37859811525
Gaia DR3 4061403710268439040,1.457321654322679,225,232,255,2409.8635634967955,-44.43148204310479,153.85903533295175,-4201.637645288618,-227321.46024283985,-11735.833474616642
Gaia DR3 3350187607437467520,1.110741251938189,249,246,255,-1206.475048676449,-244.29480342327264,-71.11258249130218,188.2474939625153,-268.29880161687873,10475.93839930322
Gaia DR3 1227763787936437632,0.28561972522375856,255,195,146,64.41703711797784,7.912602714946449,134.89697671340184,10201.13811949323,-32231.16551369483,-3853.0722075693316
Gaia DR3 118636553018901248,0.2830065166795686,255,192,141,-117.99597862452846,48.36735387379647,-60.22694956991059,4888.6259023957045,-6276.24136664991,-12601.341805252583
Gaia DR3 3385763714902901760,1.4359717995436945,255,254,250,-1697.0436059928443,-228.08991769024888,316.1155205103283,1866.971420485649,-16541.36298683482,-6045.3123985935
Gaia DR3 2892913881224444288,0.6856152102010452,0,0,255,-232.61309105528875,-392.6720973265117,-172.57590238109896,44302.707021147384,-14045.909232574573,-26133.005191467775
Gaia DR3 4286742644109650560,1.1796181272122566,255,240,226,1022.5548474205424,803.2805091099165,141.26507218297047,-3729.327759062897,3263.5288715255883,18.003995949504063
Gaia DR3 340605204521472640,1.216021665349429,255,252,246,-1020.7150017077109,762.2572199199927,-333.376084193413,2665.3532592009747,-13589.588327880852,-35624.73489090457
